univ,lat,lon
Brown University,41.8186395,-71.4088008716793
НИУ ВШЭ,55.8067509,37.5418934534272
Yale University,41.25713055,-72.98966960152231
РАНХиГС,55.73785685,37.603311860290646
Purdue University,40.430028,-86.92642114650494
Финансовый университет при правительстве РФ,55.8008155,37.52721310382645
UCL,51.5217852,-0.135151496712513
МГУ,55.70229715,37.53179772747929
UC Berkeley,37.87549965,-122.2390685139518
University of Chicago,41.784977,-87.5905237123017
Boston University,42.3504215,-71.10322831831216
Cambridge University,52.20689035,0.11511257525718
Imperial College London,51.4989595,-0.175640692763104
IE University,40.95331165,-4.119041941698532
Первый МГМУ им. И.М. Сеченова,55.727991,37.5743662871966
TU Munchen,48.2655696,11.669345610437995
Cornell University,42.4529076,-76.48008423030923
РУДН,55.6509317,37.50072676122946
ВАВТ,55.72698545,37.533257481344585
University of Cambrige,,
New York University (Shanghai),40.7313519,-74.0004653
МФТИ,55.929035,37.518668082948246
University of Toronto,43.663462,-79.39775966248058
University of Amsterdam,52.36813335,4.889804155733945
ННГУ,56.298577300000005,43.98028270914073
University of Edinburgh,55.94407645,-3.188373556396455
University Oxford,34.3653692,-89.5350279
EDHEC Business School,50.6729687,3.166082829307869
University of Pennsylvania,39.94934045,-75.18964936995958
New York University,40.7292053,-73.99501481290962
МГИМО,55.67259515,37.48570886603453
МАРХИ,55.7631562,37.62266736610091
Carnegie Mellon University,40.4441897,-79.94271918393466
МГТУ им. Баумана,55.7658691,37.6828487
UCL SSEES,,
Freie Universitat Berlin,52.45285645,13.290724942928115
Санкт-Петербургский государственный университет,59.9406782,30.296499938428813
МИФИ,43.3004642,41.8771717
Tbilisi State University,41.7228253,44.7185112
МГЛУ,55.738862350000005,37.594200287587626
University of British Columbia,49.25783145,-123.24624198622212
Stanford University,37.43131385,-122.16936535498309
Иннополис,55.7522117,48.7445682
НИУ ВШЭ Пермь,58.004678850000005,56.30744920000001
Bocconi University,45.44988355,9.189263625177816
РНИМУ им. Н.И. Пирогова,55.7351698,37.57949465358613
Duke University,36.00015569999999,-78.94422972195878
Санкт-Петербургский Горный Университет,59.9416953,30.2096309
Trinity College Dublin,53.34366705,-6.254436557768817
МГМСУ им. Евдокимова,55.77540875,37.60436813237276
НИУ ВШЭ (Санкт-Петербург),59.92310145,30.303443913299795
Foundation UCL Подготовительные курсы,,
Rice University Texas,29.71679145,-95.40478113393792
МПГУ,55.658051150000006,37.47655055123926
МГЮА,55.762097,37.58607755763427
ИТМО,59.843073,30.1435319
,,
РНИМУ им. Пирогова,55.7351698,37.57949465358613
University of Cambridge,52.210945550000005,0.092004976378712
Zhejiang university of economics and finance,30.32362145,120.39095989073869
МВШСЭН,,
Harvard University,42.36574325,-71.12221394207614
Technical university of Munich,48.2655696,11.669345610437995
Foundation King’s College London,,
University of California San Diego,32.87924375,-117.23112468377349
МИРЭА,55.7973177,37.7046576
МГМУ им. Сеченова,55.727991,37.5743662871966
"University of California, Los Angeles",34.070877749999994,-118.44685031405577
Johannes Kepler University Linz,48.33608985,14.320579914064746
СПбГУПТД,59.9345473,30.316657614781203
University of Columbia,40.80775585,-73.96161411567529
Bar Ilan University (Tel-Aviv),32.06932925,34.84334338615306
Slovenska technicka univerzita v Bratislave,48.1519198,17.0736928
Duke Kunshan University,31.417489,120.89523251885868
МГПУ,52.0503133,29.260336332035564
International University in Spain,,
Erasmus University Rotterdam,51.9176312,4.525962326490774
University of Southern California,34.02186895,-118.285857923125
University of Michigan,42.2942142,-83.71003893509601
New York University (Abu Dhabi),24.523789,54.43476072285368
НИУ ВШЭ (Нижний Новгород),56.32462075,44.022219685039474
ПГНИУ,58.00767345,56.18745424333805
Neapolis University Pafos,34.749421049999995,32.42660454499132
СПбГАСУ,59.9151628,30.315056501072068
РГГУ,55.757485,37.622567919583126
СПбГУ,59.9401655,30.29818753663959
СПБГЭТУ ЛЭТИ,59.97244155,30.323441124682816
American University in Dubai,25.09152555,55.15570822715054
King’s College,52.2040035,0.114819819045674
HKUST,22.3338367,114.2629827
ГУУ,55.71453155,37.81445482421717
Utrecht University,52.0832758,5.1478185
УрФУ,56.8439725,60.65410755802282
University of California,37.87549965,-122.2390685139518
Darmstadt University of Applied Science,,
Newcastle University,54.98017505,-1.614680212718784
РТУ МИРЭА,55.67070045,37.48151353002291
Williams college,42.7130236,-73.2030082
Studienkolleg Sachsen,51.35337065,12.371238837470385
University of Warwick,52.3813073,-1.5639569481637432
Московский государственный психолого-педагогический университет (МГППУ),55.78627995,37.35231265035312
Central European University,48.17337375,16.387846743816223
ESADE,7.966667,4.216667
Seton Hall University,40.7433314,-74.246892079833
University of North Carolina at Chapel Hill,35.90503535,-79.04775326525107
